Material,Experiment,Date,Days,Report Status,Duration,Duration_mins,L1,L2,L3,V_CG,V_CP,V_RP,V_RG,V_Tails,V_CA,Qty (ug)_Tails,Qty (ug)_CP,Evaporation Rate,CPM_enrichment,Tails_quality,Ions,Neutrals,Ions predicted
Lu,T12,25-07-2023,,Released,03:15:00,195,1.55,4.45,17.9,-1300,-850,500,0,200,100,485000,640,149.2,82.7,2.4,526,114,472
Lu,T13,01-08-2023,,Released,06:30:00,390,1.35,4.8,17.3,-1300,-850,500,0,200,100,678000,2600,104.3,71.2,2.38,1831,769,2145
Lu,T13,04-08-2023,,,06:40:00,400,1.55,5.35,17.6,-1300,-850,500,0,200,100,685000,,102.8,,2.36,,,
Lu,T14,08-08-2023,,Released,03:50:00,230,1.4,5.5,16.3,-1300,-850,500,0,200,100,470000,1080,122.6,89.34,2.37,962,118,660
Lu,T15,11-08-2023,,Released,07:30:00,450,1.5,4.8,17,-1300,-850,500,0,200,100,1130000,1700,150.7,94.33,2.4,1601,99,1620
Lu,T16,17-08-2023,,Released,02:30:00,150,1.75,6,21.4,-1300,-850,500,0,200,100,272000,432,108.8,87.1,2.32,375,57,332
Lu,T17,31-08-2023,,Released,05:00:00,300,1.8,5.3,24.5,-1300,-850,500,0,200,100,1555000,2166,145.8,88,2.4,1899,267,1644
Lu,T17,01-09-2023,,Released,05:40:00,340,1.1,5,25.4,-1300,-850,500,0,200,100,,,,,,,,
Lu,T18,07-09-2023,,Released,06:45:00,405,1.7,4.6,25,-1300,-850,500,0,200,100,1736000,2460,142.7,88.33,2.334,2165,295,2029
Lu,T18,08-09-2023,,Released,05:25:00,325,,,,-1300,-850,500,0,200,100,,,,,,,,
Lu,T19,15-09-2023,,Pending,06:45:00,405,,,,-1300,-850,500,0,200,100,1273000,NA,188.6,NA,,,,1405
Lu,T20,17-10-2023,,Pending,13:15:00,795,,,,-1300,-850,500,0,200,100,1765000,3375,,89.8,,3020,,2030
Lu,T21,26-10-2023,,Pending,11:30:00,690,,,,-1300,-850,500,0,200,100,178000,3550,,0.9,,3189,,2194
Lu,T22,08-11-2023,,Pending,11:25:00,685,,,,,,,,,,,,,,,,,1623
Lu,T23,24-11-2023,,Pending,,,,,,,,,,,,,,,,,,,
