Exp,Material,Sample,Sample ID,Identifier,FINAL,Ratio,RSD ppm,Analysis Done By,Unnamed: 8
E14,Sm,Tails,E14 Sm Tails,A,144/148,0.31,164.22,,
E14,Sm,Tails,E14 Sm Tails,A,147/148,1.4123,88.92,,
E14,Sm,Tails,E14 Sm Tails,A,149/148,1.1823,80.76,,
E14,Sm,Tails,E14 Sm Tails,A,150/148,0.7214,75.34,,
E14,Sm,Tails,E14 Sm Tails,A,152/148,2.4045,125.63,,
E14,Sm,Tails,E14 Sm Tails,A,154/148,2.0917,158.72,,
E14,Sm,CP Middle,E14 Sm CP Middle,A,144/148,0.3289,952.34,,
E14,Sm,CP Middle,E14 Sm CP Middle,A,147/148,1.4022,553.1,,
E14,Sm,CP Middle,E14 Sm CP Middle,A,149/148,1.3201,720.89,,
E14,Sm,CP Middle,E14 Sm CP Middle,A,150/148,0.7435,499.12,,
E14,Sm,CP Middle,E14 Sm CP Middle,A,152/148,101.3402,913.12,,
E14,Sm,CP Middle,E14 Sm CP Middle,A,154/148,2.2598,2940.11,,
E14,Sm,CP(T+B),E14 Sm CP(T+B),A,144/148,0.3217,670.24,,
E14,Sm,CP(T+B),E14 Sm CP(T+B),A,147/148,1.4224,450.25,,
E14,Sm,CP(T+B),E14 Sm CP(T+B),A,149/148,1.2845,320.98,,
E14,Sm,CP(T+B),E14 Sm CP(T+B),A,150/148,0.7205,701.53,,
E14,Sm,CP(T+B),E14 Sm CP(T+B),A,152/148,24.1004,821.49,,
E14,Sm,CP(T+B),E14 Sm CP(T+B),A,154/148,2.0872,2745.32,,
E13,Sm,CP Middle,E13 Sm CP Middle,A,144/148,0.3025,980.45,,
E13,Sm,CP Middle,E13 Sm CP Middle,A,147/148,1.4028,472.8,,
E13,Sm,CP Middle,E13 Sm CP Middle,A,149/148,1.325,620.34,,
E13,Sm,CP Middle,E13 Sm CP Middle,A,150/148,0.7332,520.54,,
E13,Sm,CP Middle,E13 Sm CP Middle,A,152/148,120.3345,420.78,,
E13,Sm,CP Middle,E13 Sm CP Middle,A,154/148,2.2125,395.22,,
E13,Sm,CP Middle,E13 Sm CP Middle,B,144/148,0.32,760.13,,
E13,Sm,CP Middle,E13 Sm CP Middle,B,147/148,1.4002,288.12,,
E13,Sm,CP Middle,E13 Sm CP Middle,B,149/148,1.305,905.45,,
E13,Sm,CP Middle,E13 Sm CP Middle,B,150/148,0.72,3050.23,,
E13,Sm,CP Middle,E13 Sm CP Middle,B,152/148,118.4445,525.34,,
E13,Sm,CP Middle,E13 Sm CP Middle,B,154/148,2.2222,475.76,,
E13,Sm,CP(T+B),E13 Sm CP(T+B),A,144/148,0.312,274.42,,
E13,Sm,CP(T+B),E13 Sm CP(T+B),A,147/148,1.4025,155.67,,
E13,Sm,CP(T+B),E13 Sm CP(T+B),A,149/148,1.3208,85.1,,
E13,Sm,CP(T+B),E13 Sm CP(T+B),A,150/148,0.7201,175.45,,
E13,Sm,CP(T+B),E13 Sm CP(T+B),A,152/148,17.0001,520.15,,
E13,Sm,CP(T+B),E13 Sm CP(T+B),A,154/148,2.1,230.91,,
E13,Sm,Tails,E13 Sm Tails,A,144/148,0.3114,250.23,,
E13,Sm,Tails,E13 Sm Tails,A,147/148,1.4123,120.4,,
E13,Sm,Tails,E13 Sm Tails,A,149/148,1.327,160.25,,
E13,Sm,Tails,E13 Sm Tails,A,150/148,0.7334,160.78,,
E13,Sm,Tails,E13 Sm Tails,A,152/148,2.4121,245.12,,
E13,Sm,Tails,E13 Sm Tails,A,154/148,2.1278,350.8,,
E13,Sm,Nat,E13 Sm Nat,A,144/148,0.3201,285.15,,
E13,Sm,Nat,E13 Sm Nat,A,147/148,1.412,102.5,,
E13,Sm,Nat,E13 Sm Nat,A,149/148,1.33,110.25,,
E13,Sm,Nat,E13 Sm Nat,A,150/148,0.731,230.44,,
E13,Sm,Nat,E13 Sm Nat,A,152/148,2.401,175.35,,
E13,Sm,Nat,E13 Sm Nat,A,154/148,2.1005,210.23,,
T04,Lu,Nat_500,T04 Lu Nat_500,A,176/175,0.0305,220.34,,
T04,Lu,Nat_500,T04 Lu Nat_500,B,176/175,0.027127295,400.0,, 
T04,Lu,CP,T04 Lu CP,A,176/175,8.213627011,100.0,,
T04,Lu,CP,T04 Lu CP,B,176/175,8.210474976,200.0,,
T04,Lu,Tails,T04 Lu Tails,A,176/175,0.023864198,850.0,,
T04,Lu,Tails,T04 Lu Tails,B,176/175,0.023753552,500.0,,
T04,Lu,Nat_500,T04 Lu Nat_500,A,176/175,0.027167666,350.0,,
Nat,Lu-4000,1,Nat Lu-4000 1,A,176/175,0.026523232,300.0,,
Nat,Lu-4000,2,Nat Lu-4000 2,A,176/175,0.026459386,150.0,,
Nat,Lu-4000,3,Nat Lu-4000 3,A,176/175,0.026551449,180.0,,
Nat,Lu-4000,4,Nat Lu-4000 4,A,176/175,0.026449321,160.0,,
Nat,Lu-4000,5,Nat Lu-4000 5,A,176/175,0.026461624,130.0,,
Nat,Lu-4000,6,Nat Lu-4000 6,A,176/175,0.026614869,140.0,,
Nat,Lu-4000,7,Nat Lu-4000 7,A,176/175,0.02662667,120.0,,
Nat,Lu-4000,8,Nat Lu-4000 8,A,176/175,0.026560982,200.0,,
Nat,Lu-4000,9,Nat Lu-4000 9,A,176/175,0.02648857,230.0,,
Nat,Lu-4000,10,Nat Lu-4000 10,A,176/175,0.026601683,310.0,,
Nat,Lu-4000,11,Nat Lu-4000 11,A,176/175,0.026459767,290.0,,
Nat,Lu-4000,12,Nat Lu-4000 12,A,176/175,0.026745325,330.0,,
Nat,Lu-250,1,Nat Lu-250 1,A,176/175,0.026594091,750.0,,
Nat,Lu-500,1,Nat Lu-500 1,A,176/175,0.026598601,620.0,,
Nat,Lu-1000,1,Nat Lu-1000 1,A,176/175,0.026541398,320.0,,
E15,Sm,Nat,E15 Sm Nat,A,144/148,0.276142549,220.0,,
